day,proc,window,W,start,N,n_mle,beta_mle,mu_mle,n_bayes,n_map,n_sd,n_lo,n_hi,sd_logbeta,ll_exp,n_soe,m_soe,ll_soe,gamma_min_soe
20140401,P,10min,600.0,0.0,214,0.6200156248718729,18.82938766295814,0.1355278284498881,0.6121539949266189,0.6135980674925281,0.05499108436413929,0.5191976423981765,0.7001675103555589,0.18685413492403224,-74.85493022188464,0.8775813828513579,0.6937682930194706,81.60136639624562,0.00999999913818483
20140401,P,10min,600.0,600.0,38,0.6934097895454103,4.436135112582387,0.019417335235283315,0.4947547961977521,0.49453398784206687,0.10048961037671657,0.32946519683075476,0.6608030765496754,0.3007312942310219,-61.05556833037306,0.7960579366338869,2.8150239381562847,-28.93740334575407,0.009217464200061799
20140401,P,10min,600.0,1200.0,119,0.4862082595817173,357.42043011151446,0.10190202947746184,0.48727058047031496,0.4870737979551485,0.061672727525691536,0.38603645405773246,0.5891786708313564,0.17952139494967195,4.567385079943691,0.8990031310806946,2.495324422851387,87.6310084056529,0.009404036816838013
20140401,P,10min,600.0,1800.0,67,0.5014478544545476,361.6180338797024,0.0556716577153582,0.5012575057811912,0.5012907199479416,0.08020739277046325,0.36902592322069233,0.6333751232475889,0.22532675528986204,-6.215060100722241,0.7850947381250828,2.1788343299073354,22.844152853760946,0.009999999489448401
20140401,P,10min,600.0,2400.0,119,0.432323900138985,1239.8080629889969,0.11258909850766813,0.43706538871281964,0.4361767454052135,0.0585486346800231,0.342191844058437,0.5349815649764905,0.18317237410685808,24.375711297718894,0.8252596500449864,1.6363467625026467,95.23028678943066,0.009999999374679748
20140401,P,10min,600.0,3000.0,201,0.46004862954752135,1482.6255595447585,0.18088369415584377,0.461822450045859,0.46148220207387874,0.04685978009967783,0.3852686796301582,0.5395398215343745,0.1218552002829548,165.1384284421489,0.8176371896059706,1.0084214214146205,248.27862311711394,0.009999999423770523
20140401,P,10min,600.0,3600.0,266,0.534497212483477,1757.0607303089903,0.20637323759025603,0.5331468180003505,0.5334060170077782,0.043948059367115655,0.46036596308026784,0.6050414896898207,0.12230453962752297,424.3915823814836,0.8100810005958854,0.9343222308097102,491.5217139599787,0.009999999449360909
20140401,P,10min,600.0,4200.0,222,0.6141012714303743,1680.836819382552,0.1427825524523043,0.6078723215193857,0.6090411216832496,0.050585440973420964,0.5226362226113324,0.6891096196896567,0.11512976383393635,497.7920634950383,0.7966732575914428,1.4714533920663715,513.2268177330795,0.00999999947477486
20140401,P,10min,600.0,4800.0,192,0.5324226166264044,1783.9313499281993,0.14962464205438572,0.5307158016705995,0.5310390677997678,0.05093304939242083,0.4463107544495091,0.6140148907100086,0.12012752898248553,281.68379714825437,0.853186892002576,3.5377400846381324,356.3398677986776,0.008423992992799412
20140401,P,10min,600.0,5400.0,158,0.5983333787372719,1263.1432955054859,0.10577237066184875,0.5910508229600501,0.5923869665957833,0.05916685324772968,0.4913757291473474,0.6861506494519662,0.20926394580984475,288.197523397946,0.8970086616626541,3.7727871009214295,368.42903312195216,0.007838439876563736
20140401,P,10min,600.0,6000.0,146,0.6198413282716015,852.1276298048199,0.09250517695550904,0.6101106024177687,0.6118778491919393,0.06136960080245047,0.5060953613284982,0.7080728011702481,0.14343435846824457,267.7583950232855,0.8778064810757148,16.40551487687681,306.27235885059036,0.00462705800632358
20140401,P,10min,600.0,6600.0,265,0.48988510094753346,1284.0469175080818,0.22530074858931134,0.4902524359201118,0.490181563052552,0.04247252051669371,0.4204651250487985,0.5602820228733132,0.13121878081762983,299.2959587243354,0.8290360170586062,0.7334740024097363,413.0708859372413,0.009999999391381737
20140401,P,10min,600.0,7200.0,263,0.5138274502952365,1895.3811255484948,0.21310567924184237,0.5133030463405714,0.5134038260798902,0.04334029392098768,0.44179244214546687,0.5844691120421859,0.11482796473781755,393.99559961357045,0.8558412948059966,1.3621433719815557,497.6709038626643,0.009999999237912505
20140401,P,10min,600.0,7800.0,167,0.646537911250551,1768.0537446061824,0.09838045741637169,0.6354258400018363,0.6374497636411185,0.05850316059419549,0.5357341525051845,0.728187114017525,0.11424750181587624,434.7806246817782,0.7846716723703258,0.8514986271982405,444.7047098514614,0.009999999518865356
20140401,P,10min,600.0,8400.0,185,0.5799653617951246,1511.4602396085454,0.12951070513094123,0.5751215747334318,0.5760268687648817,0.05396306150454759,0.4847453083159367,0.6623996234270775,0.14934392102618615,335.4461599709223,0.9095591314646518,1.4436627351262994,421.5566774422601,0.009999998683470315
20140401,P,10min,600.0,9000.0,192,0.5806244622807922,1286.5452518001803,0.13420011212254854,0.5759371391234597,0.576815972790147,0.052881105206891654,0.4873898858939047,0.6614770581564965,0.12887832608324504,332.8476598029015,0.7958780584124597,0.1713630007413216,396.9785830186925,0.009999999506680683
20140401,P,10min,600.0,9600.0,70,0.4998941251155031,1950.4941569121986,0.058345684432962404,0.49990728991473055,0.4999049697993299,0.07812570828236043,0.37117484636825815,0.6286476927656285,0.17529036375276694,48.41180398750839,0.7351978854749432,2.5352431635332024,52.55701306749627,0.0099255847760643
20140401,P,10min,600.0,10200.0,51,0.5267202544870728,865.7917932803451,0.04022878100079073,0.5221710226784091,0.5229270291684155,0.09071313784701904,0.3713550570533132,0.6703907595099163,0.21914947107680288,20.79081330903081,0.8089982819171616,2.118745438449094,43.78503747891232,0.009999999418207305
