day,proc,N,T,n_mle,beta_mle,mu_mle,n_bayes,n_sd,n_lo,n_hi,n_soe,m_soe,gamma_min_soe,ll_exp,ll_soe,ks_stat,ks_p,ks_soe,ksp_soe,a0,a1,a2,a3,a4,a5,a6
20140401,P,8846,50391.742073999994,0.545786471035749,1606.6886003360269,0.07973476738574468,0.545781113528897,0.007873509109515014,0.5328101607304663,0.5587129992981879,0.9239409674435334,12.89094894623027,0.003957437723442463,11486.504976297338,15554.340700000026,0.125062706397722,4.684961541789393e-121,0.13030166174880253,2.0633128957832324e-131,0.0011115560962954175,0.006924965376169232,0.09213492990309326,0.952644606928015,2.303084576894065,525.9389969608878,71.66470726576065
20140401,Tr,24146,50391.742073999994,0.30168729426936153,976.7428579598467,0.3346136022306913,0.3018043623727833,0.0035846955521979295,0.2959285581464933,0.30772139977401153,0.9617454197063717,30.734481248595284,0.0011495385682214962,-2552.3395468507115,10128.56999668284,0.18676275739713533,0.0,0.030828494030520653,2.2670720344845144e-20,0.0028560141787920433,0.008402145796783304,0.1420472098986961,1.5963108824023289,1.0387328199639134,275.55843627854506,44.98481242221184
20140402,P,10105,50399.561562,0.5640799451496045,1581.6575509755517,0.08741210069808508,0.5640597947141177,0.0074929562598326695,0.5517094561755324,0.5763602222567966,0.9276721318154757,12.705338217195925,0.0038574538379788186,15393.241594889618,19942.080606634485,0.1132813558785436,2.0591980488517374e-113,0.13353395798901807,1.3563880955433297e-157,0.0011047460707025586,0.0064156301086992175,0.0869710470459818,0.9666297048250332,1.840858444079269,542.1574294021822,88.41192286767689
20140402,Tr,29106,50399.561562,0.29658825296985436,802.4123448909147,0.40622391457438395,0.2967205740630228,0.003276086458640841,0.29134961176963653,0.30212720409057486,0.9391426800604218,23.65372969158462,0.002170623086865238,-1958.1203602196292,15208.793347079074,0.211861473242146,0.0,0.025422420826626102,8.958821792547831e-17,0.0020911780974860136,0.011078575875395812,0.17739958315080928,1.683783498450694,0.9013190901496192,260.59859637617,38.49391284317373
20140403,P,15827,50397.171841,0.5728507546978566,1581.0600450599914,0.13414425579546663,0.572827256130471,0.006033346914045144,0.5628844147447082,0.5827331321313443,0.968560058145542,13.725590224866133,0.0019273848463937603,29441.791778391766,38338.550799613884,0.1416168426123463,2.0788844693800997e-277,0.11362660314087408,1.854011656579259e-178,0.0012591665695065965,0.005924494692333304,0.09818095502593206,1.1065883825593394,1.4454156019678281,551.012351902965,90.92153067040199
20140403,Tr,40259,50397.171841,0.6906056016112613,6.852029126087279,0.24717794799053233,0.6905505768731895,0.0045691525322339895,0.6830030986923825,0.6980345423034954,0.9632685390930911,20.2377296197456,0.0015977488466710488,14.139906559503288,23864.66621388068,0.18071413607154474,0.0,0.039425992391299625,8.236366943220952e-55,0.0018304175828337565,0.008600320349996658,0.3137317502588438,1.622055029376286,1e-10,206.94761229701427,113.38711815262101
20140404,P,15312,50399.898730999994,0.5707561692867316,1550.9967076755602,0.13040857706980094,0.5707360101674335,0.006124287595273574,0.5606435814391496,0.5807914895733922,0.9486663004027988,13.930835593527586,0.0028291076160688873,27199.723374219207,35337.91634444757,0.12461977950736758,1.003202693712748e-207,0.1201846159390198,3.468139761647057e-193,0.0012443206904325832,0.006767974045127408,0.0846886289355055,1.034465599620832,1.295253061352836,546.220308755684,92.46462641465371
20140404,Tr,39716,50399.898730999994,0.6536503876760275,10.648759857618291,0.2729433299989411,0.6536550320307783,0.004654512207905876,0.6459737614088971,0.6612861365822084,0.9514333124254986,20.338597774159165,0.002030724684363876,3409.518702841604,31461.560111709856,0.20304253231140132,0.0,0.0286164499574708,1.0919971069506615e-28,0.0017807627781516117,0.012989965512609253,0.22816563006629417,1.5709202192036185,0.7281338877476885,247.08899457716709,38.293940429447886
20140407,P,11641,50399.951585999996,0.5558656183390156,1694.7299424365567,0.1025938213734847,0.5558455259301018,0.006924546811921926,0.5444366505903451,0.567217391041648,0.9310997957971978,11.442372327477878,0.003983055285343965,18167.673073389706,23888.125221249134,0.12826284058523707,2.0403273166437086e-167,0.13178471330892846,9.503108476383746e-177,0.001000232631122009,0.005471471008077161,0.09171794117262955,1.2052563054004282,2.1224155180743427,533.4337048231935,94.60390887616047
20140407,Tr,29994,50399.951585999996,0.44696155440270935,73.83350203673679,0.32912396299693636,0.4470977056134934,0.004174098472978903,0.44023805062634724,0.4539700815557927,0.9426989629508551,21.225679451388917,0.0022464883204906124,-1072.244427691734,17302.40656758873,0.1477982314917568,0.0,0.0462226619892695,3.9775874647675255e-56,0.0018902450722100104,0.008827024947480253,0.20426498129828333,1.9724676945664505,0.25106500462500936,257.6521983595956,37.296070942774776
