day,proc,start,Delta,N,n_exp,beta_exp,n_soe,m_soe,n_bayes,n_sd,gamma_min,ar1_th,rho1_emp,rho2_emp,rho3_emp,rho4_emp,rho5_emp,rho6_emp,rho1_th,rho2_th,rho3_th,rho4_th,rho5_th,rho6_th,rho1_ret,rho2_ret,rho3_ret,rho4_ret,rho5_ret,rho6_ret
20140401,P,0.0,10.0,758,0.3956180001715967,1030.9363387544793,0.8890532417493895,5.402261000793614,0.39683715042170387,0.02361590463495709,0.007373869252639459,0.9289143944037681,0.19678761940453546,0.019957205906839037,0.041995319713144665,-0.005312309385641019,0.05355106389738465,0.06591671794073367,0.3311761378931511,0.1768505855211946,0.11791076232490205,0.08419004180448697,0.06427867954205031,0.052054288564238264,-0.12696060154113842,-0.0486639323887646,0.029632736763609252,-0.04596694009445686,-0.04308041262739248,-0.05967561521252796
20140401,P,3600.0,10.0,1249,0.5536227666305631,1516.6065052117635,0.8626827348654935,5.352707559391883,0.5531411539032927,0.02104434796189906,0.007743593637733226,0.9254863125034195,0.14017078511237485,0.051188584190514246,0.03250120851103496,-0.022087400133432435,0.0050339399482436644,0.004369021804800117,0.20486607022749273,0.10516939872695592,0.06699490142915,0.04706996121909735,0.036209724349501225,0.02989030957307508,-0.1401333701123707,-0.017380118522753042,0.06554112823538995,0.009110290498048613,0.047400329064813604,-0.06391938014515937
20140401,P,7200.0,10.0,928,0.5635726825356613,1587.9483314595923,0.8767026655969533,6.523554297211741,0.5627937839326195,0.024513414815925776,0.007069188318613794,0.9317489354171894,0.24915157020249146,0.04771797994428221,0.07947814487963321,0.11096905708415798,0.023127623215362457,0.004946048870918089,0.22813389361456618,0.12633512990680348,0.08492361755475109,0.06262455659896209,0.05004205671101669,0.04244304838307456,0.015103711542418612,0.06486434124063702,0.03884152256347361,-0.017424928716686557,-0.07587998482139756,-0.10184267699239197
20140401,P,10800.0,10.0,607,0.5349401717580274,1458.6996459953173,0.8214689070645597,4.4903631286188,0.5343282580265225,0.0294602167810775,0.008621866288569799,0.9173936093527302,0.14675276284233454,0.09049303501722106,0.019689646304959032,0.0018676005528111446,0.011050986665137496,0.05528511968402944,0.1929710260544468,0.09600540363303624,0.05650005986940012,0.03607441297865836,0.025228677839182943,0.019217468308602777,0.0079133888565508,0.07424895883733627,-0.03451254675714779,-0.002689462132134141,-0.037150390799290375,0.11668950797849477
20140401,P,14400.0,10.0,578,0.5502184235241887,1476.0107751803262,0.9164519427765256,16.860651103087715,0.5492697962442714,0.03051494165443564,0.0035437636131351864,0.9651829248942692,0.18451486709614742,0.08055698228729774,0.05663998885081515,0.045886146531277414,0.04656228642101519,0.0418974870498248,0.23459842181610124,0.1728558436057361,0.14795198339832077,0.13427256158821355,0.12574668952840903,0.11962867808474348,-0.0678130646755992,-0.07701919470867001,0.030681701953564493,-0.04296137192731242,-0.04301336469946472,-0.0060908254065664205
20140401,P,18000.0,10.0,510,0.5927982588567617,1827.6457335953735,0.7958016896141544,1.1863160288999215,0.5906252216030634,0.03353880803055231,0.009999999484362528,0.9048374227016404,0.06310559327800705,-0.03184588529416116,0.03392246926729685,-0.0652228583263066,-0.015209174691933313,-0.005136910309324113,0.17008358316056926,0.0771390250557594,0.03852608750222183,0.01924237587495683,0.009611615264177227,0.004800415966135879,-0.00539422469940258,0.038068547289312527,0.01624954001633504,-0.04221558050686461,-0.06373840317605634,-0.09070025220567778
20140401,P,21600.0,10.0,607,0.6084294391475725,1752.4543511154936,0.8057659838824845,1.2498821173221972,0.6061990003204409,0.031237623696563237,0.009999999453809156,0.9048374229780988,0.08455021419687589,0.12930184337942469,0.058391506254454356,0.028861458723896307,0.002535872228106335,-0.02669087439365978,0.17724066596537358,0.08810713468161331,0.04542653844677001,0.02342141870113001,0.012076619966631338,0.006226320814924186,-0.23179983492506298,0.05993026665188923,0.021973641172861037,0.05408375750924266,-0.018589965390129193,-0.018382923394236247
20140401,P,25200.0,10.0,886,0.5394876556235189,2187.0058802987883,0.8737833099842255,6.589497208355688,0.5390086701424298,0.024515273696406097,0.007028192891491648,0.9321309881796999,0.11539179245480376,0.10629169231766385,0.0014056595320314938,0.11764960320612976,-0.00035444327269115906,0.029800460937990287,0.18728156405505886,0.09161842566526418,0.06291740937010154,0.048369591576447137,0.040380352805683584,0.035483923986333744,-0.08609372283081203,0.03047296122413495,0.043231611893583724,-0.09763519387932532,-0.043927143105546844,-0.05281690140845068
20140401,P,28800.0,10.0,1500,0.613120575020613,1655.2868644236546,0.9220913775977928,6.578079845596659,0.6121476870623923,0.02017861789385375,0.005809117552370293,0.9435639135807993,0.4159964931361681,0.3802768540015199,0.25046275961598796,0.2151771210251476,0.1982345415629597,0.14149463512580784,0.27986869105107576,0.17075358272916447,0.1246580145976427,0.09867410084211319,0.08325301741318765,0.07343115434396212,0.01947880870561279,0.02699885452462773,0.0735910652920962,-0.015074455899198171,0.016672394043528063,-0.0017869415807560216
20140401,P,32400.0,10.0,621,0.5664054781580705,2103.92518936402,0.835515118130197,1.729902789274081,0.5651973405313304,0.0298350702980051,0.00958121199122805,0.908634714402642,0.18363664734422797,0.032662910228248486,-0.05265361683638458,-0.045339682955677925,-0.029197888900000333,-0.03907759206320195,0.17749246434402174,0.07721628930011466,0.040288891152619945,0.021958203498168776,0.01276512594366361,0.008072340025463488,-0.057082202793689064,-0.053266003416742036,-0.041410411013968446,-0.01729474424680937,-0.0735730077379158,0.04279469400060295
20140401,P,36000.0,10.0,212,0.49650611734461464,1716.898607748461,0.7758004377792345,7.32830109188429,0.49666263887816325,0.04716494597463629,0.00823188824577757,0.9209782280651415,-0.006458233699984065,0.05356204955238406,0.02863179289687634,-0.03202488526433251,-0.034868001543792534,-0.04960419341035516,0.16796955749331582,0.08671040435977376,0.05277255846645011,0.03554644523794724,0.026444467564155395,0.021320208718449817,-0.0818772378803695,-0.10915300086428484,-0.06369414418964879,0.06364166975339826,0.07273321659875859,-0.06364447587298379
20140401,P,39600.0,10.0,129,0.39548713270174335,1401.5577252020364,0.773099884136738,4.180688191170004,0.40183734189027,0.05400854236600628,0.009475151034512833,0.9095989323127673,0.15313029211202073,0.08596299478891854,0.07125827265463644,0.038463007351795746,-0.012422801119603621,0.039807486469781224,0.2883164586683345,0.15911037335650566,0.09565659924694023,0.05855991285491167,0.03676866850939633,0.023877156986959344,-0.14412136148507804,-0.0646717673312244,0.06244942249687341,-0.0011157703720052104,-0.001118835675224989,-0.017012432869859408
20140401,P,43200.0,10.0,58,0.5689558835340017,2142.8508159380563,0.7909671785424107,13.716684421940553,0.5577572978859221,0.08781905780120403,0.006596533569540084,0.9361633151794838,-0.02327576796066918,0.0016957710017115684,0.01740382703486673,0.07202552916086724,0.0092922363747656,0.11026644209738354,0.06830765353084473,0.03804006904713449,0.03559827067167853,0.03332555280977127,0.031199147298271217,0.0292068790563289,-0.05386742128545407,-0.10714936247723132,-0.028112802498048404,-0.001183970856102003,-0.001479963570127504,-0.0014832162373145978
