day,mu,alpha_s,alpha_c,beta,n_s,n_c,n_plus,n_minus,loglik,success
20140401,0.039247538601977376,347.38668470425375,287.9773284178083,1151.2426884827407,0.30174930809948136,0.2501447620895145,0.5518940701889958,0.0516045460099668,5249.669671291451,True
20140402,0.04371317992628241,473.0601372314764,418.314472192668,1581.6575509755517,0.29909137849700607,0.264478535151086,0.5635699136480921,0.034612843345920095,8406.442348975728,True
20140403,0.06599908733272786,358.0078436417875,297.55261176043246,1132.8790261826903,0.31601595171915065,0.26265170850859104,0.5786676602277417,0.05336424321055962,18275.440201118705,True
20140404,0.06407454032294371,358.9629169950001,281.44829819393493,1111.3377036464017,0.3230007546915844,0.25325182189938944,0.5762525765909738,0.06974893279219499,16435.64681989245,True
20140407,0.05130516462554268,500.9052352403472,440.17033923431273,1694.7299424365567,0.29556640423794184,0.2597288973377484,0.5552953015756903,0.03583750690019342,10120.484594833124,True
20140408,0.04338158893047428,500.56544284245894,430.0524998248202,1712.1086986415537,0.2923677937268965,0.2511829419277168,0.5435507356546132,0.04118485179917966,6274.6088442536075,True
20140409,0.040563822439834404,464.7008537765171,442.4463225071493,1657.4788709228003,0.28036608003201585,0.26693934400552427,0.54730542403754,0.013426736026491587,6079.575991499572,True
20140410,0.05710080983151485,345.69870883058456,275.8846328638895,1130.9288360129462,0.3056768010702905,0.2439451750443574,0.5496219761146478,0.06173162602593312,9519.013761056885,True
20140411,0.06385838519904483,598.5477973073572,494.79094184423667,1930.3324703056574,0.31007497750508256,0.2563242081121338,0.5663991856172165,0.053750769392948775,17185.650470156408,True
20140414,0.04086733495183034,808.7738435727417,705.7138005128595,2623.711329157303,0.30825565091130197,0.2689753985776797,0.5772310494889817,0.03928025233362222,10540.01062138699,True
20140415,0.05348037034408932,570.1042750697684,491.1019189794757,1775.435169229244,0.3211067826921911,0.2766093223176795,0.5977161050098705,0.044497460374511646,18137.398444550472,True
20140416,0.05110042755024181,418.17235863552577,375.1138763802345,1310.2851801866188,0.31914606450480276,0.28628414794923385,0.6054302124540365,0.03286191655556893,17597.88670576962,True
20140417,0.04457368377249546,399.41065325198366,340.0517696889287,1269.7179066453457,0.31456644909989917,0.26781678663362435,0.5823832357335235,0.046749662466274836,11066.375776443085,True
20140422,0.027244775933707468,472.28502644003817,314.41440856310214,1321.734011654856,0.3573222919857538,0.2378802435214969,0.5952025355072507,0.11944204846425692,6713.4093654478875,True
20140423,0.03898586559805213,378.39389674976127,341.2851800826098,1155.976255296011,0.32733708414526724,0.29523545878995316,0.6225725429352204,0.03210162535531407,14428.80067513783,True
20140424,0.057892815667435524,514.6337905401018,470.7917824854179,1634.5385981047614,0.3148495796531308,0.28802732650749174,0.6028769061606225,0.026822253145639064,20435.062103638305,True
20140425,0.04459738177754067,427.5616705197768,377.08488578933714,1315.8377182953052,0.32493495556100316,0.28657400570479036,0.6115089612657936,0.038360949856212787,16002.55415651747,True
20140428,0.03639058967463945,817.6350616010689,723.7028153744241,2693.963646077667,0.3035063456745312,0.26863867165695215,0.5721450173314834,0.03486767401757905,8381.45183029235,True
20140429,0.05573475630299481,528.3485558993078,475.65387236654055,1632.503633591269,0.32364311173814564,0.29136466380792775,0.6150077755460734,0.032278447930217884,21957.854156689813,True
20140430,0.06688766692077862,371.53790983068495,320.0911453339304,1153.9760591265474,0.32196327375448724,0.2773810971227684,0.5993443708772557,0.04458217663171884,22474.256937167498,True
