day,proc,model,N,n,loglik,ks,ks_p,cvm,resid_acf1,resid_acf5,resid_acf10,mean_resid,var_resid
20140401,P,Exp,8846,0.545786471035749,11486.504976297338,0.125062706397722,4.684961541789393e-121,48.76591656154631,-0.009242933398047428,0.08712011527339697,0.026079588758023,0.9991725358390272,4.372420133257304
20140401,P,SoE,8846,0.9239409674435334,15554.340700000026,0.13030166174880253,2.0633128957832324e-131,34.13642303742351,-0.19400763334147106,-0.025949532084180077,-0.02125905850312879,0.9994249218798776,1.4391093204623964
20140401,Tr,Exp,24146,0.30168729426936153,-2552.3395468507115,0.18676275739713533,0.0,288.71272803614886,0.21397725661228295,0.2023227826303926,0.2004761438189012,1.000000085239574,7.5549381990424465
20140401,Tr,SoE,24146,0.9617454197063717,10128.56999668284,0.03082849403052068,2.267072034484327e-20,4.528206650361943,0.12758791508333903,-0.005748329249448371,-0.012018141798018234,0.9999940059997731,1.179621207761983
20140402,P,Exp,10105,0.5640799451496045,15393.241594889618,0.1132813558785436,2.0591980488517374e-113,47.62783247349517,0.02715877864307106,0.04539014717742162,0.0730842742896243,0.9999995364857482,3.7875778374144558
20140402,P,SoE,10105,0.9276721318154757,19942.080606634485,0.13353395798901813,1.3563880955429199e-157,39.769661654513975,-0.19215332274230187,-0.0502996983458659,0.009069088507192395,1.0000103851488154,1.4017309770389248
20140402,Tr,Exp,29106,0.29658825296985436,-1958.1203602196292,0.211861473242146,0.0,417.8839904069354,0.29693124294632967,0.19574916711734783,0.1964171847725513,0.9999386131334668,5.307954258600747
20140402,Tr,SoE,29106,0.9391426800604218,15208.793347079074,0.02542242082662613,8.958821792547094e-17,5.265026617173423,0.12726479449184086,0.005230660605482406,-0.0015343541149110415,0.9999233273600094,1.155853796108246
20140403,P,Exp,15827,0.5728507546978566,29441.791778391766,0.1416168426123463,2.0788844693800997e-277,104.4100927791615,0.041674408380916086,0.07399045441042845,0.04167954809787485,0.9992007188307267,12.925113681485275
20140403,P,SoE,15827,0.968560058145542,38338.550799613884,0.11362660314087414,1.8540116565785143e-178,47.2116421148203,-0.12206769639654196,-0.030790519989771798,-0.000583074345636921,0.9998536245023678,1.5932044868205446
20140403,Tr,Exp,40259,0.6906056016112613,14.139906559503288,0.18071413607154477,0.0,216.5330901923631,0.25693302054753786,0.14249204536382737,0.13932316710919398,0.9999999990417684,2.5009811603910976
20140403,Tr,SoE,40259,0.9632685390930911,23864.66621388068,0.039425992391299625,8.236366943220952e-55,15.338241343371873,0.1222882134180765,-0.004704492427355908,-0.002446507209925934,1.0000065851712725,1.2081426366699402
20140404,P,Exp,15312,0.5707561692867316,27199.723374219207,0.12461977950736758,1.003202693712748e-207,82.55666939839756,0.0746143811382319,0.030989851047342823,0.041530782473618216,0.9998801779185357,4.574673865113313
20140404,P,SoE,15312,0.9486663004027988,35337.91634444757,0.1201846159390198,3.468139761647057e-193,49.959663851509355,-0.18413305129264732,-0.04802027128741204,0.0013824118943588763,0.9999458285720175,1.4861122537210838
20140404,Tr,Exp,39716,0.6536503876760275,3409.518702841604,0.20304253231140126,0.0,282.89157094476883,0.1900711524497263,0.11920935356909332,0.10112043844447287,0.999999987681814,2.527710091458838
20140404,Tr,SoE,39716,0.9514333124254986,31461.560111709856,0.02861644995747084,1.0919971069504545e-28,7.283999978439543,0.11266892861525621,-0.003358592242435182,-0.012244461153718172,0.9999968866309759,1.139058615209254
20140407,P,Exp,11641,0.5558656183390156,18167.673073389706,0.12826284058523707,2.0403273166437086e-167,67.83691403307867,0.024347322917941613,0.05968626881319905,0.041224591036752564,0.9999999508386309,4.372952022316971
20140407,P,SoE,11641,0.9310997957971978,23888.125221249134,0.1317847133089285,9.503108476382115e-177,42.561103274745925,-0.15036339781708113,-0.0470159742303928,0.00701776445914093,0.9999705136987799,1.544761442188036
20140407,Tr,Exp,29994,0.44696155440270935,-1072.244427691734,0.14779823149175678,0.0,243.74603352478118,0.20023437567625368,0.10711573422016853,0.10330681967298608,0.9999299327266179,4.210838259145763
20140407,Tr,SoE,29994,0.9426989629508551,17302.40656758873,0.0462226619892695,3.9775874647675255e-56,12.36245769202381,0.12038371848262204,-0.009941361333048935,-0.014391078020969308,0.9999331779392523,1.2836642727469245
20140408,P,Exp,9592,0.5442443779883281,12898.325256378917,0.11267655193960702,1.5611217678088317e-106,44.80644682002718,-0.0023514594579283343,0.02678052876013808,0.055140631241681705,1.0000002639838212,3.824661472589275
20140408,P,SoE,9592,0.9181946819846942,16706.034253675178,0.13470450143556595,2.9654470184006672e-152,39.13379986865331,-0.19759114882265905,-0.042478192857680785,0.01010694337300259,1.000005242943341,1.4246943536042005
20140408,Tr,Exp,31001,0.2913087282332051,1308.9375006781702,0.24658852074659077,0.0,583.4046840331732,0.2599081978961613,0.13971312011064918,0.12316731721796674,0.9999933796522775,7.124125160402083
20140408,Tr,SoE,31001,0.9566611707764988,19499.532442767966,0.05825330599919443,6.917929849330571e-92,19.91536164115451,0.11559517828039255,-0.014308083440027796,-0.015455638258947137,0.9999998679567327,1.3273975536884213
20140409,P,Exp,9037,0.547631252302473,12340.92615345701,0.13388756745133334,9.806229670597878e-142,54.45473423783438,0.0871416765757578,0.032924074588091524,0.026756975417161485,0.9999998445379872,4.14328571516206
